order_id,customer_id,order_date,amount,status,payment_mode,source_system,db_sync_ts
45715,37323,2026-01-18 05:00:00,122.18,completed,card,web,2026-02-16
90607,11287,2025-10-27 14:00:00,300.17,completed,wallet,web,2026-02-16
31007,45888,2025-07-28 23:00:00,141.46,completed,card,web,2026-02-16
74113,31213,2025-07-12 08:00:00,229.11,completed,card,web,2026-02-16
85571,38517,2025-03-08 09:00:00,122.91,completed,wallet,web,2026-02-16
25146,27170,2025-05-16 20:00:00,53.3,completed,bank_transfer,web,2026-02-16
97949,42942,2025-06-12 21:00:00,138.97,pending,card,web,2026-02-16
97191,49678,2025-09-13 15:00:00,128.24,completed,card,web,2026-02-16
11318,32085,2025-07-12 06:00:00,84.45,pending,wallet,web,2026-02-16
49556,7874,2025-05-20 03:00:00,227.61,completed,card,web,2026-02-16
114274,48361,2025-02-09 16:00:00,85.78,completed,card,crm,2026-02-16
114073,22012,2025-10-04 14:00:00,99.24,cancelled,upi,web,2026-02-16
80729,22183,2026-01-21 21:00:00,203.29,completed,wallet,web,2026-02-16
3173,28275,2025-10-24 22:00:00,100.62,completed,upi,partner_portal,2026-02-16
56900,24810,2025-04-23 12:00:00,196.58,cancelled,bank_transfer,web,2026-02-16
85191,37645,2025-08-06 09:00:00,327.62,completed,card,partner_portal,2026-02-16
25927,10579,2025-06-01 09:00:00,309.66,completed,upi,web,2026-02-16
68370,12013,2025-04-04 11:00:00,124.48,completed,card,web,2026-02-16
115815,10505,2025-11-07 09:00:00,64.87,completed,bank_transfer,web,2026-02-16
53931,9118,2025-05-22 16:00:00,124.32,completed,card,web,2026-02-16
110618,40442,2025-08-05 02:00:00,137.91,completed,card,web,2026-02-16
11075,42818,2025-10-03 22:00:00,68.79,completed,bank_transfer,partner_portal,2026-02-16
87776,16350,2025-04-06 03:00:00,167.01,cancelled,wallet,web,2026-02-16
5778,42222,2025-06-24 10:00:00,235.13,completed,card,crm,2026-02-16
58993,48014,2026-01-24 04:00:00,102.83,completed,bank_transfer,web,2026-02-16
41183,42884,2025-08-09 19:00:00,215.77,completed,bank_transfer,web,2026-02-16
67528,34397,2025-08-20 13:00:00,74.01,completed,upi,web,2026-02-16
43897,36168,2025-02-07 18:00:00,123.6,completed,card,web,2026-02-16
65906,38356,2025-07-25 11:00:00,41.13,completed,bank_transfer,web,2026-02-16
33480,31501,2025-05-30 09:00:00,137.58,completed,card,web,2026-02-16
70655,25666,2025-02-12 15:00:00,44.69,completed,wallet,crm,2026-02-16
32986,39367,2025-08-12 16:00:00,87.75,completed,upi,web,2026-02-16
26860,26650,2025-02-26 03:00:00,112.31,completed,card,crm,2026-02-16
104282,28505,2026-01-27 16:00:00,73.8,completed,card,web,2026-02-16
60279,37349,2025-08-25 03:00:00,116.7,completed,upi,web,2026-02-16
58165,35651,2026-01-05 01:00:00,100.74,completed,card,crm,2026-02-16
70447,14058,2025-12-06 08:00:00,119.69,completed,bank_transfer,web,2026-02-16
79946,23503,2025-04-08 14:00:00,107.43,completed,wallet,crm,2026-02-16
104291,13801,2025-10-19 03:00:00,139.66,completed,card,web,2026-02-16
9159,9541,2025-02-21 23:00:00,240.1,completed,card,crm,2026-02-16
111102,8816,2025-08-04 20:00:00,57.9,completed,card,web,2026-02-16
5576,2941,2025-11-02 00:00:00,175.81,pending,card,web,2026-02-16
39037,43713,2025-05-22 04:00:00,61.25,pending,wallet,web,2026-02-16
15443,5998,2025-12-02 05:00:00,21.86,completed,upi,crm,2026-02-16
58453,1697,2025-10-30 07:00:00,120.09,pending,wallet,web,2026-02-16
61503,42032,2025-09-05 20:00:00,129.3,completed,card,web,2026-02-16
540,36213,2025-02-14 23:00:00,120.06,completed,bank_transfer,crm,2026-02-16
89209,4113,2025-08-04 01:00:00,108.62,completed,card,web,2026-02-16
6897,3094,2025-11-26 18:00:00,120.71,completed,card,crm,2026-02-16
8761,21202,2025-02-19 06:00:00,232.11,completed,bank_transfer,web,2026-02-16
24205,24600,2025-10-27 03:00:00,137.98,cancelled,card,web,2026-02-16
82751,2639,2025-06-29 16:00:00,161.68,pending,wallet,crm,2026-02-16
29255,29322,2025-03-31 01:00:00,277.52,completed,card,crm,2026-02-16
81857,45201,2025-11-20 11:00:00,144.95,completed,bank_transfer,web,2026-02-16
19800,28258,2025-08-21 10:00:00,213.76,cancelled,upi,crm,2026-02-16
111475,32905,2025-09-02 09:00:00,261.81,completed,upi,web,2026-02-16
84522,44473,2026-02-11 12:00:00,236.78,completed,wallet,crm,2026-02-16
64962,44188,2025-11-22 10:00:00,113.99,completed,bank_transfer,web,2026-02-16
41209,2264,2025-10-14 18:00:00,162.71,completed,upi,web,2026-02-16
109532,14804,2025-07-01 02:00:00,116.45,completed,card,web,2026-02-16
62265,3015,2025-09-10 08:00:00,170.87,cancelled,card,partner_portal,2026-02-16
8167,13676,2025-08-13 03:00:00,126.47,cancelled,upi,crm,2026-02-16
30992,17599,2025-08-20 17:00:00,210.37,pending,wallet,crm,2026-02-16
59392,14955,2025-07-19 09:00:00,269.39,completed,wallet,web,2026-02-16
115284,40130,2026-01-14 11:00:00,219.79,completed,card,web,2026-02-16
77572,28914,2025-02-17 20:00:00,77.12,completed,bank_transfer,web,2026-02-16
116179,5530,2025-11-05 04:00:00,290.74,pending,card,partner_portal,2026-02-16
5818,3289,2025-04-21 20:00:00,157.69,pending,upi,crm,2026-02-16
96595,18056,2025-03-10 20:00:00,242.85,completed,card,web,2026-02-16
55505,21352,2025-11-28 22:00:00,112.9,pending,wallet,partner_portal,2026-02-16
49244,35715,2025-10-23 12:00:00,104.66,completed,upi,web,2026-02-16
43530,4030,2025-09-14 16:00:00,202.2,cancelled,upi,web,2026-02-16
17239,24059,2025-01-01 14:00:00,99.79,completed,upi,web,2026-02-16
61848,42531,2025-03-23 23:00:00,115.02,completed,card,crm,2026-02-16
109124,10723,2025-04-02 19:00:00,195.09,pending,card,web,2026-02-16
79652,48033,2026-01-24 01:00:00,198.08,completed,card,web,2026-02-16
4484,15142,2026-01-21 07:00:00,106.06,completed,wallet,crm,2026-02-16
96385,27372,2025-07-01 00:00:00,106.75,completed,card,web,2026-02-16
32951,4256,2025-01-27 07:00:00,141.02,completed,card,crm,2026-02-16
48326,35227,2025-12-07 03:00:00,163.95,completed,card,web,2026-02-16
59353,26205,2025-08-23 04:00:00,184.88,completed,card,web,2026-02-16
10004,12198,2025-09-26 23:00:00,157.23,completed,bank_transfer,crm,2026-02-16
18369,31342,2025-05-27 23:00:00,224.04,pending,card,web,2026-02-16
8915,43344,2025-01-01 05:00:00,263.11,cancelled,card,web,2026-02-16
84734,12294,2025-01-04 11:00:00,97.4,completed,upi,partner_portal,2026-02-16
86931,40331,2026-01-11 06:00:00,117.54,pending,upi,web,2026-02-16
45122,26081,2025-12-07 19:00:00,137.79,pending,bank_transfer,web,2026-02-16
117383,23790,2025-12-05 08:00:00,395.37,completed,upi,partner_portal,2026-02-16
54421,49049,2025-03-20 02:00:00,210.76,completed,bank_transfer,partner_portal,2026-02-16
16871,18328,2025-10-09 22:00:00,164.59,completed,card,crm,2026-02-16
9033,38648,2025-05-28 18:00:00,17.81,completed,wallet,web,2026-02-16
63339,30577,2025-01-24 02:00:00,49.78,completed,wallet,web,2026-02-16
7168,33889,2025-07-18 01:00:00,,completed,upi,web,2026-02-16
118580,40129,2025-06-10 07:00:00,219.65,pending,card,web,2026-02-16
56427,38342,2025-07-17 15:00:00,94.36,completed,upi,web,2026-02-16
68843,4244,2025-08-16 15:00:00,34.61,pending,card,crm,2026-02-16
87138,9260,2025-03-29 17:00:00,112.19,completed,card,web,2026-02-16
47033,44413,2025-12-29 06:00:00,190.77,cancelled,upi,crm,2026-02-16
72741,33543,2025-08-17 20:00:00,161.53,completed,card,crm,2026-02-16
47066,36447,2025-11-29 08:00:00,36.86,pending,wallet,web,2026-02-16
5936,45331,2025-01-07 10:00:00,84.18,completed,card,web,2026-02-16
75166,46074,2025-03-02 15:00:00,202.4,completed,upi,web,2026-02-16
16001,18046,2025-10-20 23:00:00,300.85,completed,wallet,web,2026-02-16
68293,31413,2025-09-02 12:00:00,453.3,completed,bank_transfer,partner_portal,2026-02-16
101887,38001,2025-01-12 12:00:00,56.25,completed,bank_transfer,web,2026-02-16
102192,13161,2025-02-23 07:00:00,149.41,completed,upi,web,2026-02-16
12790,35121,2025-09-01 01:00:00,134.44,completed,upi,web,2026-02-16
29322,16655,2025-01-30 15:00:00,188.55,completed,card,crm,2026-02-16
37913,26600,2025-05-11 21:00:00,160.43,completed,bank_transfer,partner_portal,2026-02-16
87965,37758,2025-08-18 07:00:00,33.93,completed,bank_transfer,crm,2026-02-16
52945,1071,2025-08-29 12:00:00,47.42,completed,wallet,crm,2026-02-16
22183,24905,2025-12-12 16:00:00,103.97,pending,card,web,2026-02-16
15700,44673,2025-08-04 00:00:00,147.51,completed,card,partner_portal,2026-02-16
34262,12953,2025-06-08 18:00:00,113.08,completed,wallet,web,2026-02-16
60007,14487,2025-01-21 03:00:00,58.51,completed,card,web,2026-02-16
111505,36147,2025-08-26 02:00:00,114.36,completed,card,web,2026-02-16
103265,47350,2025-11-26 07:00:00,146.63,pending,upi,web,2026-02-16
25413,11632,2025-07-24 07:00:00,73.42,completed,upi,crm,2026-02-16
41240,18931,2025-04-27 02:00:00,,pending,card,partner_portal,2026-02-16
25862,47384,2025-10-14 13:00:00,448.06,completed,card,web,2026-02-16
82704,5435,2025-11-13 10:00:00,74.42,completed,card,web,2026-02-16
41600,32290,2025-11-07 12:00:00,241.5,completed,upi,web,2026-02-16
56270,26888,2026-01-10 10:00:00,64.63,unknown,bank_transfer,web,2026-02-16
29830,19165,2025-07-24 04:00:00,203.6,pending,bank_transfer,web,2026-02-16
82750,28077,2025-06-29 10:00:00,270.07,completed,bank_transfer,partner_portal,2026-02-16
84998,41121,2025-02-24 01:00:00,110.4,completed,card,web,2026-02-16
98017,40106,2026-01-16 19:00:00,61.62,completed,wallet,crm,2026-02-16
112600,9338,2025-10-28 05:00:00,811.97,completed,card,web,2026-02-16
11883,23744,2025-05-07 07:00:00,56.55,pending,wallet,web,2026-02-16
50941,34401,2025-07-31 12:00:00,87.34,cancelled,upi,partner_portal,2026-02-16
92776,46243,2025-05-30 13:00:00,298.57,completed,upi,web,2026-02-16
48381,19829,2025-07-19 23:00:00,60.64,completed,bank_transfer,partner_portal,2026-02-16
35167,19688,2025-02-08 19:00:00,80.29,pending,card,web,2026-02-16
107063,44665,2025-12-21 13:00:00,37.45,cancelled,card,web,2026-02-16
119793,19311,2025-05-20 14:00:00,139.4,cancelled,card,web,2026-02-16
13377,24229,2025-07-17 17:00:00,94.45,completed,bank_transfer,partner_portal,2026-02-16
33645,13890,2025-11-10 02:00:00,35.67,completed,bank_transfer,web,2026-02-16
41198,29735,2025-01-31 21:00:00,245.31,cancelled,wallet,crm,2026-02-16
26666,39207,2025-05-19 11:00:00,256.25,completed,card,web,2026-02-16
63199,37574,2025-02-24 20:00:00,135.74,pending,bank_transfer,crm,2026-02-16
16143,31443,2025-05-14 12:00:00,313.03,pending,card,crm,2026-02-16
49787,1946,2025-02-06 12:00:00,40.95,pending,wallet,crm,2026-02-16
103122,25668,2025-11-12 15:00:00,253.63,completed,card,web,2026-02-16
31729,5245,2025-02-21 06:00:00,275.72,completed,upi,crm,2026-02-16
67834,24836,2025-09-21 08:00:00,57.66,pending,card,web,2026-02-16
43071,33839,2025-10-26 17:00:00,209.43,completed,card,partner_portal,2026-02-16
52934,42477,2025-05-08 03:00:00,123.06,completed,upi,web,2026-02-16
33984,47620,2025-03-25 22:00:00,221.55,completed,wallet,crm,2026-02-16
110558,47286,2025-07-05 18:00:00,165.65,pending,upi,web,2026-02-16
115012,35787,2026-01-08 02:00:00,309.32,pending,upi,web,2026-02-16
104041,20265,2025-12-31 21:00:00,158.69,completed,card,web,2026-02-16
25632,47888,2025-10-03 18:00:00,146.83,completed,card,partner_portal,2026-02-16
85651,47818,2025-06-01 10:00:00,62.06,completed,upi,web,2026-02-16
59477,23527,2025-08-12 04:00:00,273.58,cancelled,upi,web,2026-02-16
61950,29489,2025-05-22 03:00:00,58.29,pending,upi,web,2026-02-16
47367,46143,2025-04-28 01:00:00,137.67,completed,wallet,web,2026-02-16
90601,27142,2026-02-04 07:00:00,88.75,pending,upi,web,2026-02-16
15368,29423,2025-06-10 04:00:00,33.89,pending,wallet,web,2026-02-16
77968,10356,2025-12-30 23:00:00,110.24,completed,card,web,2026-02-16
88585,27261,2025-06-17 10:00:00,107.19,completed,bank_transfer,web,2026-02-16
103923,3803,2025-04-29 15:00:00,259.16,pending,card,crm,2026-02-16
80707,29946,2025-12-12 06:00:00,128.64,completed,card,web,2026-02-16
86974,17418,2025-10-16 01:00:00,29.78,cancelled,card,crm,2026-02-16
53246,5029,2025-07-08 23:00:00,150.65,cancelled,upi,web,2026-02-16
50607,37057,2025-06-05 08:00:00,170.7,pending,upi,web,2026-02-16
62978,29500,2025-03-12 18:00:00,54.38,completed,card,web,2026-02-16
19685,14788,2025-03-16 22:00:00,70.51,cancelled,card,partner_portal,2026-02-16
58338,10933,2026-02-12 00:00:00,51.11,completed,wallet,web,2026-02-16
76377,17047,2025-01-09 21:00:00,371.75,completed,card,crm,2026-02-16
3678,15311,2025-10-29 17:00:00,31.7,completed,wallet,crm,2026-02-16
66873,3816,2025-07-24 07:00:00,57.53,completed,upi,web,2026-02-16
22910,24263,2025-04-16 21:00:00,94.58,completed,card,crm,2026-02-16
110006,46241,2025-02-01 13:00:00,53.45,completed,card,crm,2026-02-16
8498,49589,2025-06-10 18:00:00,77.1,completed,upi,partner_portal,2026-02-16
67086,35235,2025-12-19 07:00:00,105.44,completed,upi,web,2026-02-16
2253,34155,2025-03-12 09:00:00,32.33,completed,bank_transfer,partner_portal,2026-02-16
62737,13718,2026-01-13 07:00:00,109.3,completed,upi,crm,2026-02-16
43661,34484,2025-01-11 23:00:00,299.19,completed,card,crm,2026-02-16
75816,35362,2025-05-01 20:00:00,212.24,completed,card,web,2026-02-16
66545,1795,2025-05-08 14:00:00,225.35,pending,upi,crm,2026-02-16
103766,6943,2025-10-07 03:00:00,154.59,pending,card,web,2026-02-16
84063,3188,2025-10-26 13:00:00,91.07,completed,card,web,2026-02-16
16054,49074,2025-06-07 08:00:00,82.93,completed,wallet,partner_portal,2026-02-16
62530,32238,2025-03-14 04:00:00,200.41,pending,bank_transfer,web,2026-02-16
6120,12753,2025-07-11 08:00:00,58.17,pending,card,web,2026-02-16
12472,1701,2025-04-25 17:00:00,158.61,pending,bank_transfer,crm,2026-02-16
89651,40993,2025-07-27 07:00:00,94.54,pending,card,web,2026-02-16
13746,26908,2025-11-29 04:00:00,94.05,completed,bank_transfer,web,2026-02-16
107661,45518,2025-03-16 07:00:00,102.6,completed,card,web,2026-02-16
35906,46849,2026-01-10 08:00:00,52.51,completed,card,web,2026-02-16
113743,36418,2025-01-28 14:00:00,97.31,completed,card,crm,2026-02-16
23447,2396,2025-07-25 13:00:00,146.71,completed,bank_transfer,partner_portal,2026-02-16
113344,17155,2025-12-29 14:00:00,47.26,cancelled,card,crm,2026-02-16
80442,15974,2026-01-04 20:00:00,245.56,pending,card,web,2026-02-16
66822,5830,2026-02-07 03:00:00,179.2,cancelled,card,web,2026-02-16
25626,36955,2025-08-15 13:00:00,208.8,completed,card,web,2026-02-16
39171,47288,2025-02-18 08:00:00,252.37,completed,card,web,2026-02-16
65124,37203,2026-01-12 13:00:00,100.81,completed,card,web,2026-02-16
42979,5886,2026-01-12 05:00:00,89.54,completed,card,partner_portal,2026-02-16
90396,43608,2025-04-16 17:00:00,128.02,pending,bank_transfer,web,2026-02-16
67734,14383,2025-04-27 22:00:00,225.36,completed,card,crm,2026-02-16
13019,17803,2025-12-28 22:00:00,189.99,completed,card,web,2026-02-16
29428,34348,2025-10-24 06:00:00,187.0,completed,card,crm,2026-02-16
91420,3933,2025-03-10 05:00:00,106.1,completed,bank_transfer,crm,2026-02-16
78496,30200,2026-02-10 23:00:00,126.75,completed,bank_transfer,crm,2026-02-16
91977,47955,2025-02-23 20:00:00,300.42,pending,wallet,partner_portal,2026-02-16
15683,27403,2025-02-28 01:00:00,197.17,completed,card,web,2026-02-16
88871,45628,2025-06-27 02:00:00,185.3,completed,upi,web,2026-02-16
54715,14952,2025-08-23 04:00:00,186.65,pending,card,partner_portal,2026-02-16
28562,15012,2025-02-19 04:00:00,83.2,pending,bank_transfer,web,2026-02-16
100467,39864,2025-03-08 21:00:00,154.1,pending,card,web,2026-02-16
18318,28517,2025-09-23 16:00:00,186.89,completed,wallet,web,2026-02-16
104625,4882,2026-02-14 05:00:00,115.9,completed,card,web,2026-02-16
114288,3172,2025-08-16 06:00:00,105.2,pending,card,web,2026-02-16
41561,47871,2026-02-01 14:00:00,50.53,completed,wallet,web,2026-02-16
100533,33066,2025-04-02 19:00:00,242.94,cancelled,card,partner_portal,2026-02-16
38714,39226,2025-07-26 18:00:00,188.04,pending,card,web,2026-02-16
18313,4162,2025-08-11 08:00:00,144.62,completed,card,crm,2026-02-16
40655,3202,2025-02-17 03:00:00,155.78,completed,card,web,2026-02-16
119964,33763,2025-02-09 00:00:00,238.74,completed,wallet,crm,2026-02-16
79942,14414,2025-05-11 12:00:00,135.4,completed,bank_transfer,web,2026-02-16
55350,21078,2025-04-14 20:00:00,74.98,completed,card,web,2026-02-16
93049,12024,2025-06-30 21:00:00,59.74,completed,card,crm,2026-02-16
92393,10718,2025-07-26 23:00:00,89.16,unknown,wallet,crm,2026-02-16
62942,40475,2025-02-20 16:00:00,208.2,completed,upi,partner_portal,2026-02-16
17290,32354,2025-09-13 14:00:00,138.55,completed,card,web,2026-02-16
77313,30325,2025-09-18 22:00:00,115.11,cancelled,card,web,2026-02-16
82405,11341,2025-06-10 14:00:00,71.89,completed,upi,web,2026-02-16
119930,8681,2025-08-01 17:00:00,,completed,upi,web,2026-02-16
28977,8224,2025-07-04 20:00:00,163.59,completed,card,web,2026-02-16
22890,26374,2025-02-21 18:00:00,117.19,completed,wallet,crm,2026-02-16
20517,45634,2025-09-05 13:00:00,111.8,completed,card,web,2026-02-16
60873,12763,2025-11-30 05:00:00,221.79,completed,card,web,2026-02-16
44217,17650,2026-01-16 09:00:00,81.8,completed,bank_transfer,crm,2026-02-16
66373,45131,2025-01-11 13:00:00,139.86,completed,wallet,web,2026-02-16
29181,5827,2026-02-14 08:00:00,,completed,upi,web,2026-02-16
11698,7408,2025-06-29 23:00:00,137.18,pending,card,partner_portal,2026-02-16
71974,4420,2025-10-16 12:00:00,166.86,completed,card,web,2026-02-16
33621,24772,2025-05-08 11:00:00,153.72,pending,card,web,2026-02-16
113376,44747,2025-10-29 03:00:00,102.7,unknown,bank_transfer,web,2026-02-16
65682,4251,2025-09-27 04:00:00,86.08,completed,card,web,2026-02-16
110045,32679,2025-01-30 14:00:00,98.1,completed,upi,crm,2026-02-16
85765,39764,2025-06-13 14:00:00,219.99,completed,card,crm,2026-02-16
5521,16875,2025-08-07 16:00:00,149.02,pending,card,web,2026-02-16
93189,18232,2025-10-04 20:00:00,249.98,completed,card,partner_portal,2026-02-16
110502,22299,2025-03-23 01:00:00,70.24,completed,wallet,crm,2026-02-16
10682,22819,2025-08-12 16:00:00,120.88,completed,bank_transfer,web,2026-02-16
118827,32626,2025-06-05 03:00:00,104.47,completed,upi,web,2026-02-16
112028,45407,2025-11-21 04:00:00,132.42,pending,card,partner_portal,2026-02-16
79484,22910,2025-08-23 17:00:00,122.69,completed,upi,crm,2026-02-16
67428,8094,2025-02-02 13:00:00,159.69,pending,wallet,crm,2026-02-16
92398,35101,2025-05-23 11:00:00,59.81,completed,wallet,crm,2026-02-16
76471,26548,2025-05-22 07:00:00,90.39,completed,upi,web,2026-02-16
108132,23765,2025-05-14 10:00:00,6.73,pending,wallet,web,2026-02-16
114474,14662,2025-07-07 02:00:00,83.53,completed,upi,web,2026-02-16
18407,5033,2025-07-31 05:00:00,83.27,pending,card,web,2026-02-16
