order_id,customer_id,order_date,amount,status
1,6006,2025-02-02,79.11,pending
2,4573,2025-05-02,113.63,completed
3,4031,2025-03-14,73.66,pending
4,8869,2026-01-03,38.04,completed
5,4221,2025-05-27,209.3,completed
6,3327,2025-08-07,136.34,pending
7,8451,2025-09-13,48.55,completed
8,1510,2025-02-28,49.63,completed
9,4753,2025-11-05,131.32,completed
10,3639,2025-11-10,40.86,completed
11,1254,2025-09-05,265.57,completed
12,7104,2025-09-16,131.2,completed
13,9465,2026-02-03,237.44,pending
14,7638,2025-06-20,14.87,completed
15,3740,2025-09-16,94.74,completed
16,5578,2025-08-26,65.39,pending
17,8203,2026-02-07,25.25,completed
18,3649,2025-11-11,29.85,pending
19,4611,2025-02-10,91.63,completed
20,8788,2025-02-27,57.25,pending
21,2660,2025-11-13,,completed
22,8888,2025-03-22,91.36,pending
23,6745,2025-03-22,30.45,unknown
24,4710,2025-06-05,64.46,completed
25,7694,2025-02-09,381.32,completed
26,4482,2025-05-03,52.45,completed
27,4051,2025-01-01,213.3,completed
28,6212,2025-06-30,86.91,completed
29,8841,2025-03-26,138.45,completed
30,7065,2025-04-06,121.67,completed
31,6682,2025-11-18,270.5,completed
32,6271,2025-01-12,72.62,completed
33,8133,2025-06-21,95.93,completed
34,4680,2025-08-29,70.13,completed
35,7308,2025-07-09,99.6,completed
36,4756,2025-12-12,78.53,completed
37,6137,2025-06-14,84.66,pending
38,6490,2025-09-04,126.65,completed
39,4126,2025-01-30,100.84,completed
40,8801,2026-01-16,,cancelled
41,3063,2025-01-17,71.71,completed
42,1407,2025-05-09,135.16,unknown
43,7317,2025-06-12,28.35,completed
44,1761,2025-03-16,95.63,completed
45,5628,2025-11-12,151.32,pending
46,7473,2025-04-07,181.77,completed
47,2430,2025-09-17,,pending
48,4907,2025-12-05,16.96,completed
49,5894,2025-04-27,99.98,completed
50,7605,2025-06-24,186.85,completed
51,5255,2025-03-06,337.75,pending
52,5584,2025-09-29,105.98,completed
53,5708,2025-10-10,81.96,completed
54,4925,2025-08-12,48.59,completed
55,1256,2025-08-07,96.76,unknown
56,9110,2025-12-10,89.89,completed
57,8081,2025-12-12,27.81,completed
58,4131,2025-12-25,37.49,cancelled
59,4098,2025-12-20,66.42,completed
60,6499,2025-12-15,77.56,completed
61,8573,2025-04-15,159.7,pending
62,5619,2025-10-15,145.07,completed
63,3330,2025-03-01,,completed
64,1943,2025-09-08,41.37,completed
65,5312,2025-06-14,132.09,completed
66,2424,2025-12-13,14.84,completed
67,6056,2025-11-11,198.66,completed
68,7946,2025-10-19,49.3,completed
69,7679,2025-12-29,131.25,pending
70,5442,2025-06-15,2.93,pending
71,2182,2025-07-12,61.41,completed
72,6770,2025-02-12,72.31,pending
73,2512,2025-01-05,90.34,completed
74,4858,2025-03-08,86.92,completed
75,2713,2025-02-25,80.93,pending
76,8223,2025-08-14,220.43,pending
77,1492,2025-07-09,98.93,pending
78,8242,2025-11-30,20.25,completed
79,3208,2026-01-04,116.25,cancelled
80,4659,2025-01-28,170.53,completed
81,4519,2025-04-28,99.77,completed
82,2097,2026-02-04,115.89,completed
83,7563,2025-08-08,29.49,completed
84,8062,2025-06-02,119.05,completed
85,7608,2025-06-23,125.13,completed
86,5241,2025-09-13,159.59,completed
87,8860,2025-03-31,24.44,completed
88,5731,2025-03-22,86.14,pending
89,6018,2025-06-03,43.91,completed
90,5320,2026-01-16,91.1,completed
91,5472,2026-01-05,194.67,pending
92,1313,2025-09-05,188.63,completed
93,8297,2025-10-11,62.03,completed
94,5358,2025-11-23,191.77,completed
95,2063,2025-03-20,82.95,completed
96,1815,2025-09-24,209.39,completed
97,8859,2025-12-12,119.84,completed
98,1533,2025-09-28,133.68,completed
99,7585,2025-02-07,,pending
100,8033,2025-03-18,176.72,completed
